id,name,industry,employee_count,annual_revenue
badfa508-2437-4ccf-a33b-1c740c2b8639,Rose-Ballard,SaaS,10000,24511071.34
568e964a-48d1-4429-a400-795a53fb234d,Vasquez PLC,SaaS,100,314095574.81
8876537b-20e6-4f26-8fea-93f3ef429483,Gonzalez Ltd,Logistics,5000,211657823.43
91ae2fc2-0f56-4f0f-ae42-6a0f05d0d688,Hanson-Stephens,SaaS,500,191428023.97
e75dcfe1-22a0-4d15-a6c2-7190a694a9cd,Bond-Brown,Retail,1000,126455645.87
3af97d4d-d6a6-48cf-9345-c1cef532f1f3,Walker Ltd,Manufacturing,10000,471272999.83
56200b11-c589-468c-9185-7792fced4d1a,"Rich, Hinton and Hendrix",Media,5000,58161319.75
3ad46e23-aea9-44f2-bc0e-027b3252f6d2,"Dunlap, Harrington and Hernandez",Manufacturing,10000,134145769.79
57e70c11-c1a8-4058-a7cc-3ebc2acb4e8d,Harris-Miles,Media,250,56664534.62
929520a3-adba-4a8f-83ce-d13396d7d367,Jackson and Sons,Retail,100,227408129.46
d95e142b-0e01-4d62-9713-64be27dd7f5b,Dennis Inc,Media,5000,132431136.32
f3b3a781-049e-4475-826b-3cb7da295d65,"Bell, Spence and Cannon",Manufacturing,10000,90147288.38
002ce998-8bce-446a-9d12-4569055935d5,Washington-Taylor,SaaS,10000,313024796.59
c4424617-bb7b-4b8e-97e0-18df3add84b8,Wolf PLC,Logistics,5000,254323778.11
4c86938b-9190-4ffb-aed0-569e2d3106bc,"Jenkins, Gentry and Pratt",Healthcare,100,187583012.44
f3ed34f1-4e6d-4b46-9465-62a246120abc,Spencer-Gonzales,Healthcare,1000,476796374.08
be3dd724-012a-4cc7-99e9-6113a120917f,Young Group,Manufacturing,50,299873347.65
86e7f579-31d7-4e9c-991f-b8fde66e0e4b,"Patel, Kelly and Stuart",Retail,50,56821994.94
e92b1a30-ff55-497b-8cac-ad0076262af0,"Lewis, Munoz and Lyons",Finance,10000,403580627.59
91d273bd-f5f4-4964-8ae8-8f9ea74e7ac4,Mcbride-Jones,Healthcare,50,121194924.63
68692788-93ee-462f-a68c-e9ab710f0d24,"Simpson, Vincent and Davis",Manufacturing,50,43741072.58
505c42c7-4f54-4783-baf9-d16b63a4e822,"Vaughn, Fisher and Everett",Retail,10000,35537046.72
d09e57c7-7058-41ca-ba19-b8618591ebc6,Ware-Johnson,Logistics,1000,383151380.22
d19e9758-fb64-4838-b796-fbc8b9ada334,Martinez LLC,Healthcare,5000,238165906.67
43feaba3-9a81-41ad-bb57-82b00c78b618,Walter PLC,Manufacturing,100,133263257.84
342ac025-2ce2-4ea1-b8d5-59a22f2585ff,Ramirez-Rivas,Logistics,1000,212145832.16
2042671d-82c4-4bfe-b74a-0ad344714026,"Stewart, Smith and Watson",Healthcare,1000,377877333.12
235b12c4-c5f7-456b-807c-a1e9728f3177,"Cross, Lara and Henry",Media,100,356761537.44
9447cd4e-0f91-4e7a-88a8-d8383edf87dc,Mays-Mills,Retail,5000,325289150.76
6352783f-958f-4110-8cec-062c442ddbe4,Johnson and Sons,Retail,1000,226291584.55
52ddeca2-dd82-4ad1-b4a3-993b0aba627b,Reeves-Hancock,Healthcare,100,32948922.27
00da60c7-169b-438c-a402-d51f4d9dfa61,White Inc,SaaS,1000,277406839.69
