id,account_id,rep_id,name,product,stage,amount,close_probability,expected_close_date,actual_close_date,created_at
3db9cc2d-b210-408e-9c0c-f4028fbd7916,596396c1-d40b-4b01-af05-654707efca31,11c59b73-1c6f-4521-8df0-fa6552bd4feb,Evolve Sticky Communities Deal,Term Life Policy,Negotiation,179991.93,78,2025-06-08,,2025-02-03T21:37:36
7877053c-5770-454b-ad1f-2d429ebfee87,ecaa24e9-b5b0-4ff3-a505-85f809600947,49ee0e04-55bc-4d24-89d5-288672473cb1,Aggregate Granular Markets Deal,Whole Life Policy,Negotiation,104542.4,85,2025-07-28,,2025-06-05T09:29:20
fa2e1a61-faf3-422e-a425-b567297e87ab,b357f455-8d81-4397-a6f8-3e5c97959418,db5de4a8-68d7-40ac-931b-56ee0158fb6e,Visualize Killer Markets Deal,Group Health Plan,Negotiation,43494.66,73,2026-01-01,,2025-11-17T04:59:22
199f4185-2c88-459b-95ff-488b69ae6df4,00925daf-35e7-491f-854b-28835b410b50,c78e9bd7-0760-4595-a848-a494101a4147,Engage Collaborative Communities Deal,Property & Casualty,Qualification,252617.31,35,2026-06-29,,2026-02-20T16:00:42
1f8d97b6-1cae-48f9-8151-e82d7484a485,6cff6894-cc68-461e-9b85-c40b47bbaa13,7c28f429-6319-4ce8-b38a-5d0b486b407b,Utilize Turn-Key Deliverables Deal,Commercial Lines,Closed Lost,53272.97,7,2025-07-11,2025-06-19,2025-03-04T04:17:18
63ccf7b2-e46d-493e-8590-a767f7fd0047,623b1f2f-7858-4698-9f1f-251edbb167cc,c78e9bd7-0760-4595-a848-a494101a4147,Benchmark Dot-Com Portals Deal,Workers Compensation,Negotiation,258080.15,66,2025-12-13,,2025-10-09T02:40:27
e0ba7729-f9f3-48bf-be39-6f808ff77da3,883c074d-e518-40ad-9559-151d8db1627c,49ee0e04-55bc-4d24-89d5-288672473cb1,Reinvent Wireless Eyeballs Deal,Fixed Annuity,Qualification,294242.42,32,2025-05-18,,2025-04-15T22:27:35
f4c291e2-b23d-4c75-899a-0212cf9bfd03,623b1f2f-7858-4698-9f1f-251edbb167cc,11c59b73-1c6f-4521-8df0-fa6552bd4feb,Grow One-To-One Web-Readiness Deal,Medicare Supplement,Negotiation,57480.47,83,2025-04-08,,2025-02-12T17:09:27
989a16d5-f2a8-44e2-8e5f-9c5390af5611,e410c79b-8b2d-461f-ae8e-3d436fd2f2c2,c78e9bd7-0760-4595-a848-a494101a4147,Orchestrate Real-Time Applications Deal,Long-Term Care,Closed Lost,292075.94,0,2025-04-20,2025-03-27,2025-02-12T21:15:42
cfc71a38-06b4-4894-b949-abb042f1a170,b357f455-8d81-4397-a6f8-3e5c97959418,db5de4a8-68d7-40ac-931b-56ee0158fb6e,Envisioneer Visionary Models Deal,Group Benefits Suite,Closed Won,292543.55,97,2026-06-03,2026-05-21,2026-03-30T05:51:51
9fc37522-2d59-42db-8227-5afe1f8f8ba8,14edb12f-3408-4d37-84e0-276293ba70ec,c260e256-cef6-40a3-a3af-1cc136e02508,Transition Enterprise Schemas Deal,Term Life Policy,Closed Won,109672.86,97,2026-11-04,2026-10-23,2026-06-26T08:10:50
ee2203b2-fd60-4dd8-8aa6-7e0047ac6ca6,6e0943a0-c043-43e8-8b26-985185330a0a,11c59b73-1c6f-4521-8df0-fa6552bd4feb,Exploit Dynamic E-Commerce Deal,Whole Life Policy,Closed Won,78393.61,100,2026-06-13,2026-06-13,2026-04-15T09:52:50
eef52bbe-4495-4bc6-8a00-936e4035568f,7bbb314f-8ac0-4904-85d0-86c2d9da7abe,7c28f429-6319-4ce8-b38a-5d0b486b407b,Implement Granular Networks Deal,Group Health Plan,Proposal,94401.87,43,2025-06-12,,2025-02-25T11:41:32
bbacc6cd-b6c2-40ca-9ca4-1173d0351da0,5a60fff7-6868-445c-bd4a-ae91ad5557f0,db5de4a8-68d7-40ac-931b-56ee0158fb6e,Disintermediate World-Class Content Deal,Property & Casualty,Closed Lost,47872.4,8,2026-10-26,2026-10-15,2026-07-01T08:02:06
b5d54a6e-a0f8-401a-b66b-5fe279809892,5a60fff7-6868-445c-bd4a-ae91ad5557f0,d6c5c187-0f44-4678-8f06-e8c1b894687b,Synthesize Value-Added Roi Deal,Commercial Lines,Qualification,187769.52,33,2026-03-13,,2025-11-13T06:16:02
0fc26bf5-a8ef-4ea3-a022-1ce807a8b804,db5d0963-0153-40f6-8d43-2382f3817e87,db5de4a8-68d7-40ac-931b-56ee0158fb6e,Transition 24/365 Methodologies Deal,Workers Compensation,Closed Won,210754.29,96,2026-10-27,2026-10-17,2026-06-24T11:27:04
0ab9c8a7-6d1e-420b-bb1d-22bc9eb92820,9a1a08ff-1854-471d-b406-92c97b8f16c0,db5de4a8-68d7-40ac-931b-56ee0158fb6e,Optimize Vertical Paradigms Deal,Fixed Annuity,Negotiation,50518.21,74,2026-09-15,,2026-06-17T21:26:20
8a600b6c-98e1-4159-8951-5dee1c2674f1,41db88af-87b1-4515-8751-d5d5f1a1aa98,db5de4a8-68d7-40ac-931b-56ee0158fb6e,Transition Real-Time Infrastructures Deal,Medicare Supplement,Qualification,204504.89,20,2025-12-09,,2025-08-24T19:36:19
913d86a1-10ad-4134-98ab-57fe51bb38c9,6cff6894-cc68-461e-9b85-c40b47bbaa13,a33f5b72-3754-4c7d-a770-fb8205f226e0,Transition Open-Source Communities Deal,Long-Term Care,Qualification,137518.12,25,2026-05-02,,2025-12-21T14:28:28
305a7eed-7c4a-432f-a0ea-8b9ab263c1cd,ab40465b-6e3f-4634-908d-0a8424964e4f,40713600-da14-4eda-a084-05bb58930679,Transition Proactive Markets Deal,Group Benefits Suite,Closed Lost,241867.06,0,2025-07-23,2025-07-21,2025-04-03T16:42:40
cc0bd648-7fb1-492e-a3d8-6137d896fe21,ac54e129-9c14-403d-9335-ac2e2b8109db,d6c5c187-0f44-4678-8f06-e8c1b894687b,Expedite Rich Platforms Deal,Term Life Policy,Closed Won,206746.77,94,2025-09-01,2025-08-05,2025-05-07T00:02:15
08aef6a4-8788-4736-b7c4-f7f5f2d903ca,d141c67e-2674-485c-a0be-ccbebbd2cb5d,d6c5c187-0f44-4678-8f06-e8c1b894687b,Engineer Innovative Models Deal,Whole Life Policy,Proposal,267549.02,47,2026-03-03,,2025-12-23T15:25:15
e954e2a8-ace8-4329-af0f-f27423667a82,37ccb599-aa7e-44b8-a425-a58de5cb3343,a33f5b72-3754-4c7d-a770-fb8205f226e0,Productize Synergistic Partnerships Deal,Group Health Plan,Closed Won,234463.16,97,2025-06-19,2025-06-18,2025-03-14T05:51:44
d5b87fed-df62-4b60-9d20-8e315db8834e,ac54e129-9c14-403d-9335-ac2e2b8109db,db5de4a8-68d7-40ac-931b-56ee0158fb6e,Engineer Rich Convergence Deal,Property & Casualty,Closed Lost,49587.2,6,2025-07-05,2025-06-09,2025-03-15T17:38:20
8ee88b93-d1ad-4802-9989-dfc78d3fcf86,09f18197-009e-4a58-bbe9-a56e03a2651c,d6c5c187-0f44-4678-8f06-e8c1b894687b,Mesh 24/7 Architectures Deal,Commercial Lines,Proposal,251712.21,40,2026-03-20,,2025-11-29T23:55:30
cf09853a-3b88-4697-b578-c76fc5f8cc44,c41a9e49-dd40-40b2-a34a-d3b77aaa32a6,49ee0e04-55bc-4d24-89d5-288672473cb1,Harness Granular E-Tailers Deal,Workers Compensation,Negotiation,233256.9,72,2026-02-03,,2025-11-21T08:28:04
4aa904e2-672e-4156-baa5-632c92464125,53e77462-e4b8-4c93-b9f6-33c02b21af6d,49ee0e04-55bc-4d24-89d5-288672473cb1,Optimize Next-Generation E-Markets Deal,Fixed Annuity,Closed Won,37964.63,94,2025-07-15,2025-07-05,2025-04-13T22:13:04
10905b30-6253-45f1-b292-ce2188bc27bc,68145818-50c6-4b3e-9ae7-bfa589e30cd4,db5de4a8-68d7-40ac-931b-56ee0158fb6e,Architect Revolutionary Initiatives Deal,Medicare Supplement,Proposal,73947.8,53,2026-01-25,,2025-09-29T22:01:54
e5ce092e-d694-48c4-8a64-25dd0bdf20f6,4ec4ba26-6098-4fd3-824f-81455c6433f7,a33f5b72-3754-4c7d-a770-fb8205f226e0,Embrace Strategic Interfaces Deal,Long-Term Care,Proposal,229740.41,48,2026-09-26,,2026-05-31T17:47:47
f3038c21-67b8-4585-a8d5-4de1a800c88c,c99967d5-a63f-40f4-86d8-a84046bac28c,11c59b73-1c6f-4521-8df0-fa6552bd4feb,Cultivate Distributed Interfaces Deal,Group Benefits Suite,Proposal,92786.56,45,2026-01-07,,2025-10-13T21:43:51
fdced449-6cc1-4f02-ada3-d41cb793d1ff,5ee98475-a46c-41c0-a46d-0d8ce931cb82,11c59b73-1c6f-4521-8df0-fa6552bd4feb,Cultivate Front-End Markets Deal,Term Life Policy,Closed Lost,294505.76,2,2026-01-22,2026-01-02,2025-11-30T18:36:42
1872c20b-add4-45b0-9941-6e82fb99c6c2,57120396-11ab-47e2-8870-e18bb6e54bf3,40713600-da14-4eda-a084-05bb58930679,Strategize Distributed Infrastructures Deal,Whole Life Policy,Closed Won,66792.77,96,2025-09-21,2025-08-28,2025-06-11T14:20:21
af4431eb-b23c-4265-9dfd-42557b896432,b3eda446-5a83-4b1d-af86-854187ab6a06,11c59b73-1c6f-4521-8df0-fa6552bd4feb,Unleash Wireless Markets Deal,Group Health Plan,Proposal,252949.61,52,2026-03-10,,2025-10-24T01:22:14
83ebc192-b9b5-4a70-9fa4-483336a2069f,5b719bb6-3f90-4123-a51b-5407106d1a9f,11c59b73-1c6f-4521-8df0-fa6552bd4feb,Seize End-To-End Web-Readiness Deal,Property & Casualty,Prospecting,23843.55,0,2025-09-02,,2025-06-27T19:09:15
1a2d4287-9c6b-465e-b691-f58ef0abf3c6,def80785-0f05-441a-86b0-d7c81db56dfe,4df4bb58-afd1-40e1-9459-9fd2f38c9cd8,Visualize Killer E-Business Deal,Commercial Lines,Closed Lost,147534.69,0,2025-08-21,2025-07-26,2025-06-12T19:38:47
6de57c22-242c-4aa8-bb7c-bafd99f4c6b7,b7695da5-7e44-41c3-8845-cdf598eae165,4df4bb58-afd1-40e1-9459-9fd2f38c9cd8,Engineer B2B Metrics Deal,Workers Compensation,Qualification,179925.15,27,2026-08-19,,2026-06-19T12:45:12
395f31c1-32db-4437-bf3c-754661d8dab6,e410c79b-8b2d-461f-ae8e-3d436fd2f2c2,11c59b73-1c6f-4521-8df0-fa6552bd4feb,Repurpose Intuitive Systems Deal,Fixed Annuity,Qualification,213700.01,34,2025-08-13,,2025-06-22T03:50:36
593d03c7-8776-42d7-baf7-7ae7b467df6d,57e964be-10f2-4636-aa6b-3ebfbec36646,40713600-da14-4eda-a084-05bb58930679,Monetize Granular Action-Items Deal,Medicare Supplement,Proposal,159198.83,48,2025-11-09,,2025-07-28T15:06:27
03813eb3-e598-4cc9-be6d-bfc901a92a91,def80785-0f05-441a-86b0-d7c81db56dfe,11c59b73-1c6f-4521-8df0-fa6552bd4feb,Envisioneer Customized Markets Deal,Long-Term Care,Negotiation,139113.84,85,2026-07-22,,2026-03-31T08:39:51
685466e7-3d80-4be2-9c85-8fb302ed8de2,250a0d8b-9420-454a-9d49-5560cbdc0f28,40713600-da14-4eda-a084-05bb58930679,Transition Clicks-And-Mortar Convergence Deal,Group Benefits Suite,Closed Won,183855.27,92,2025-09-21,2025-09-07,2025-07-08T08:56:28
31971282-d277-4927-8c4c-f6fa6b07bdcd,ab40465b-6e3f-4634-908d-0a8424964e4f,db5de4a8-68d7-40ac-931b-56ee0158fb6e,Incentivize Seamless Communities Deal,Term Life Policy,Negotiation,110873.04,70,2025-12-21,,2025-10-11T15:13:22
e21cabec-e7fd-4cba-9c2b-cbe6c1cfcd2a,41db88af-87b1-4515-8751-d5d5f1a1aa98,11c59b73-1c6f-4521-8df0-fa6552bd4feb,Iterate Customized Systems Deal,Whole Life Policy,Negotiation,93736.54,67,2025-05-09,,2025-01-13T07:46:26
d5a00d41-ff48-49af-9aef-dee949eba723,c41a9e49-dd40-40b2-a34a-d3b77aaa32a6,49ee0e04-55bc-4d24-89d5-288672473cb1,Reinvent Strategic Niches Deal,Group Health Plan,Proposal,217875.09,37,2026-01-06,,2025-09-01T09:14:25
ab23ba0c-7235-4365-8a05-e3a61ef47ea5,57120396-11ab-47e2-8870-e18bb6e54bf3,7c28f429-6319-4ce8-b38a-5d0b486b407b,Streamline Wireless Niches Deal,Property & Casualty,Proposal,172739.79,52,2025-10-29,,2025-07-24T10:22:44
cf442604-8948-4964-bc7e-08e96de78548,57120396-11ab-47e2-8870-e18bb6e54bf3,49ee0e04-55bc-4d24-89d5-288672473cb1,Transform B2C Interfaces Deal,Commercial Lines,Qualification,69886.52,20,2025-07-10,,2025-03-18T06:13:47
885a9e4b-c7d1-4f49-a1a6-c496a9374884,ecaa24e9-b5b0-4ff3-a505-85f809600947,db5de4a8-68d7-40ac-931b-56ee0158fb6e,Optimize Synergistic Channels Deal,Workers Compensation,Closed Won,185085.36,99,2026-09-29,2026-09-07,2026-07-01T07:23:11
f63ddc0e-88fe-4e74-b285-6dbb874c55eb,14edb12f-3408-4d37-84e0-276293ba70ec,db5de4a8-68d7-40ac-931b-56ee0158fb6e,Maximize Real-Time Partnerships Deal,Fixed Annuity,Qualification,292674.06,19,2026-03-22,,2025-11-23T20:55:48
decd39f7-2d72-421a-a732-4add889fb07a,0b896ec7-54ad-4288-9079-bc57e25738da,c260e256-cef6-40a3-a3af-1cc136e02508,Leverage Collaborative Relationships Deal,Medicare Supplement,Qualification,151433.55,16,2025-09-15,,2025-07-31T08:55:30
8e20872a-e85f-49a3-bb52-9be517b9a20c,41db88af-87b1-4515-8751-d5d5f1a1aa98,40713600-da14-4eda-a084-05bb58930679,Facilitate Cross-Media Models Deal,Long-Term Care,Prospecting,194392.03,18,2025-04-15,,2025-02-05T09:05:15
021f1e5b-8f76-4237-b8dd-faeaded0358c,5a60fff7-6868-445c-bd4a-ae91ad5557f0,40713600-da14-4eda-a084-05bb58930679,Synthesize Sticky Metrics Deal,Group Benefits Suite,Negotiation,191249.23,79,2026-07-05,,2026-03-13T14:19:55
0f3b48e2-2a5d-47b1-aac4-5aa99697b91c,5ee98475-a46c-41c0-a46d-0d8ce931cb82,db5de4a8-68d7-40ac-931b-56ee0158fb6e,Whiteboard Turn-Key Schemas Deal,Term Life Policy,Prospecting,288631.0,6,2025-07-22,,2025-03-25T20:13:16
e765f89e-06cd-4808-8a83-351f8fbc7446,0bb9ae64-1834-4fba-affc-bca1a95796dd,49ee0e04-55bc-4d24-89d5-288672473cb1,Benchmark Next-Generation E-Services Deal,Whole Life Policy,Negotiation,59611.8,84,2025-12-13,,2025-09-23T15:18:02
71308514-6566-4fd4-85b7-aacbd0ba986d,5a60fff7-6868-445c-bd4a-ae91ad5557f0,49ee0e04-55bc-4d24-89d5-288672473cb1,Implement Plug-And-Play Methodologies Deal,Group Health Plan,Closed Won,35286.23,100,2025-07-06,2025-07-03,2025-05-09T18:42:51
39e4e69a-8c5f-4158-bf15-2d682be64440,d9315c1b-73fe-4fff-b7f8-35f9a6c950b3,db5de4a8-68d7-40ac-931b-56ee0158fb6e,Matrix Intuitive Schemas Deal,Property & Casualty,Negotiation,273897.26,66,2026-08-13,,2026-04-03T05:50:19
7cede9fa-d744-41de-8e61-d995c715b4c9,c8356080-e533-4239-bdb8-028b8702e782,db5de4a8-68d7-40ac-931b-56ee0158fb6e,Engage Proactive Paradigms Deal,Commercial Lines,Qualification,50440.79,27,2026-05-29,,2026-02-23T08:32:34
d6c715e1-cd04-4368-8e58-830ab5301129,b7695da5-7e44-41c3-8845-cdf598eae165,db5de4a8-68d7-40ac-931b-56ee0158fb6e,Empower Impactful Web Services Deal,Workers Compensation,Closed Won,224342.17,92,2026-04-13,2026-03-14,2025-12-01T07:43:53
121bd520-32ea-458f-b3a9-f5338ab31a58,db5d0963-0153-40f6-8d43-2382f3817e87,c260e256-cef6-40a3-a3af-1cc136e02508,Cultivate Bleeding-Edge Bandwidth Deal,Fixed Annuity,Closed Won,249105.05,95,2026-03-29,2026-03-21,2025-12-25T15:33:41
61d963bf-9265-4d51-b851-af195689f085,f0d3927a-3b07-4b0d-9ca4-654157e45980,4df4bb58-afd1-40e1-9459-9fd2f38c9cd8,Transition Next-Generation E-Services Deal,Medicare Supplement,Negotiation,195913.65,80,2025-12-16,,2025-10-03T11:26:21
27c9ca3a-96df-4250-8561-1e5a3692715d,09f18197-009e-4a58-bbe9-a56e03a2651c,11c59b73-1c6f-4521-8df0-fa6552bd4feb,Monetize Visionary Supply-Chains Deal,Long-Term Care,Proposal,212697.0,52,2025-09-01,,2025-06-13T01:29:05
9ff77127-d4c0-415c-8f04-30838834eeda,8563a43d-9b53-4b07-bab1-329ffe23d567,4df4bb58-afd1-40e1-9459-9fd2f38c9cd8,Expedite Mission-Critical Applications Deal,Group Benefits Suite,Closed Won,261499.52,100,2026-06-05,2026-05-25,2026-04-01T14:26:03
cdb21aa3-e89a-403a-821c-43a82fc056b7,b357f455-8d81-4397-a6f8-3e5c97959418,db5de4a8-68d7-40ac-931b-56ee0158fb6e,Re-Contextualize B2B Schemas Deal,Term Life Policy,Proposal,140981.67,52,2025-05-28,,2025-02-09T04:59:18
56c7b437-4ecd-4773-ab5e-ad5cac64678d,53e77462-e4b8-4c93-b9f6-33c02b21af6d,40713600-da14-4eda-a084-05bb58930679,Grow Global Infrastructures Deal,Whole Life Policy,Prospecting,194556.35,5,2026-08-03,,2026-04-23T09:35:00
9f3415f5-a550-4c10-9afe-12fd4364ddda,63b1f073-d6da-46b9-9193-d58061ff3232,49ee0e04-55bc-4d24-89d5-288672473cb1,Harness Magnetic E-Tailers Deal,Group Health Plan,Closed Won,47336.42,94,2026-09-18,2026-08-27,2026-06-21T15:59:45
09f48600-6995-47d7-ba67-2d34bb415caf,63b1f073-d6da-46b9-9193-d58061ff3232,49ee0e04-55bc-4d24-89d5-288672473cb1,Re-Contextualize Out-Of-The-Box Paradigms Deal,Property & Casualty,Closed Won,294369.72,94,2025-09-24,2025-09-01,2025-05-18T12:12:58
bd02a0a4-4a68-4ff2-8c84-66b22f3c39a2,0bb9ae64-1834-4fba-affc-bca1a95796dd,11c59b73-1c6f-4521-8df0-fa6552bd4feb,Streamline B2C Architectures Deal,Commercial Lines,Closed Won,93730.51,100,2026-05-06,2026-04-13,2026-03-14T16:17:52
00802eb5-6ba3-4628-b65e-2db9aedf03f5,41db88af-87b1-4515-8751-d5d5f1a1aa98,49ee0e04-55bc-4d24-89d5-288672473cb1,Unleash 24/7 Niches Deal,Workers Compensation,Negotiation,299687.16,79,2026-01-09,,2025-10-05T17:30:22
24e492de-b9d4-43d6-b025-14d4f9109cc7,623b1f2f-7858-4698-9f1f-251edbb167cc,db5de4a8-68d7-40ac-931b-56ee0158fb6e,Transition Impactful Channels Deal,Fixed Annuity,Proposal,106706.54,42,2025-07-24,,2025-04-23T18:24:14
badd392c-ff1d-4c7d-9ddb-5fb681a693a6,63b1f073-d6da-46b9-9193-d58061ff3232,d6c5c187-0f44-4678-8f06-e8c1b894687b,Maximize Best-Of-Breed Channels Deal,Medicare Supplement,Negotiation,246251.54,85,2025-11-06,,2025-08-22T04:31:02
e50db492-684a-4caa-9a83-f3baa5108987,fc9b188a-852d-4a79-b51b-f21ea8e76230,db5de4a8-68d7-40ac-931b-56ee0158fb6e,Enable Dot-Com Synergies Deal,Long-Term Care,Closed Won,264144.26,100,2025-12-28,2025-12-08,2025-09-17T00:46:09
e9d2bd32-d081-44ed-8ec0-e1a1074fe476,96ea87b0-fee3-42ed-b7b5-f18eae8884d2,a41c24be-a766-481d-958b-f5f7864ccaa1,Productize Holistic Mindshare Deal,Group Benefits Suite,Prospecting,237734.71,12,2025-09-21,,2025-06-20T20:05:54
44c14f09-6916-472e-916a-465127cfb836,c41a9e49-dd40-40b2-a34a-d3b77aaa32a6,11c59b73-1c6f-4521-8df0-fa6552bd4feb,Exploit Global Eyeballs Deal,Term Life Policy,Proposal,105248.43,50,2026-04-24,,2026-02-25T17:02:39
742bf333-6517-49f8-a93f-7aa0ab912f7c,0fc564e1-64c0-4ba5-b6b5-de0c63714d1d,7c28f429-6319-4ce8-b38a-5d0b486b407b,Benchmark Best-Of-Breed Web-Readiness Deal,Whole Life Policy,Qualification,79833.59,35,2025-06-20,,2025-03-04T22:55:06
27f2fda4-38d3-4f01-b685-7429860e313a,53e77462-e4b8-4c93-b9f6-33c02b21af6d,49ee0e04-55bc-4d24-89d5-288672473cb1,Harness Robust E-Tailers Deal,Group Health Plan,Prospecting,107446.78,11,2025-06-07,,2025-02-12T13:09:15
0863475f-99fa-4bc7-ad85-ef7e5f3b368f,064ae3a3-26ce-4bf8-b129-fda68ac9b895,7c28f429-6319-4ce8-b38a-5d0b486b407b,Innovate Impactful Architectures Deal,Property & Casualty,Qualification,64894.77,34,2026-04-03,,2025-12-13T21:15:31
26dab60c-0a46-477c-b334-4d88a420efaf,c8356080-e533-4239-bdb8-028b8702e782,40713600-da14-4eda-a084-05bb58930679,Integrate Mission-Critical Synergies Deal,Commercial Lines,Qualification,87768.11,24,2025-03-31,,2025-01-21T21:34:10
86137d8c-2cbb-4bb0-ba6d-ca34925dd87a,14edb12f-3408-4d37-84e0-276293ba70ec,c78e9bd7-0760-4595-a848-a494101a4147,Morph Value-Added Experiences Deal,Workers Compensation,Negotiation,197097.53,79,2025-12-16,,2025-09-09T09:12:24
cb3aa2eb-1953-4763-9087-d742cc3c7bfa,def80785-0f05-441a-86b0-d7c81db56dfe,40713600-da14-4eda-a084-05bb58930679,Revolutionize Integrated Experiences Deal,Fixed Annuity,Proposal,99323.63,47,2026-06-21,,2026-02-01T08:00:36
35a5b9eb-8a62-4417-8867-2773aa2bf209,6e0943a0-c043-43e8-8b26-985185330a0a,a41c24be-a766-481d-958b-f5f7864ccaa1,Visualize Cutting-Edge Niches Deal,Medicare Supplement,Closed Lost,227374.06,0,2026-08-02,2026-07-13,2026-04-29T07:38:51
75c39b47-a9b4-4fa8-8d74-bd9639716980,d141c67e-2674-485c-a0be-ccbebbd2cb5d,4df4bb58-afd1-40e1-9459-9fd2f38c9cd8,Synergize Open-Source Partnerships Deal,Long-Term Care,Qualification,230339.54,19,2026-07-11,,2026-03-22T20:06:57
9109b5ba-0a2e-4e56-a0b3-3d18d9a7e851,9e6f5292-b72e-4909-ae98-bf7478ca7ea5,49ee0e04-55bc-4d24-89d5-288672473cb1,Synergize Transparent Partnerships Deal,Group Benefits Suite,Proposal,180178.53,44,2026-04-28,,2026-03-03T10:47:26
13ee97b7-c3fb-438e-9bd2-805123ba5fe7,4ec4ba26-6098-4fd3-824f-81455c6433f7,d6c5c187-0f44-4678-8f06-e8c1b894687b,Orchestrate Extensible Communities Deal,Term Life Policy,Closed Won,119269.4,95,2026-01-17,2026-01-08,2025-10-09T08:58:52
82f37537-b93d-45f7-8fe2-77a9e3341bae,96ea87b0-fee3-42ed-b7b5-f18eae8884d2,d6c5c187-0f44-4678-8f06-e8c1b894687b,Exploit Front-End Mindshare Deal,Whole Life Policy,Proposal,47823.37,42,2026-10-14,,2026-07-01T21:46:43
b1418c39-f819-40ba-bf5c-b073cb6b915e,09f18197-009e-4a58-bbe9-a56e03a2651c,db5de4a8-68d7-40ac-931b-56ee0158fb6e,Whiteboard Cross-Platform E-Services Deal,Group Health Plan,Prospecting,127453.75,14,2025-10-16,,2025-06-04T11:43:47
41855e9a-1ede-45fe-b843-8bd13ac31a9c,db5d0963-0153-40f6-8d43-2382f3817e87,40713600-da14-4eda-a084-05bb58930679,Streamline Enterprise Schemas Deal,Property & Casualty,Negotiation,120869.99,65,2026-04-16,,2026-01-16T19:56:35
fd1c839e-71f4-458c-9fc4-8a9edea5c42d,623b1f2f-7858-4698-9f1f-251edbb167cc,49ee0e04-55bc-4d24-89d5-288672473cb1,Cultivate Bleeding-Edge Action-Items Deal,Commercial Lines,Prospecting,249798.78,20,2026-07-24,,2026-06-10T13:07:08
0d96d0c4-9bd8-47ab-9b56-37576ad8bdeb,3736d085-b099-470b-9b0c-3fe7d7005c05,a41c24be-a766-481d-958b-f5f7864ccaa1,Enhance Back-End Functionalities Deal,Workers Compensation,Prospecting,81918.01,14,2026-03-25,,2025-11-13T11:42:47
9889991c-98b8-477c-8463-19ceca261fa5,9a1a08ff-1854-471d-b406-92c97b8f16c0,db5de4a8-68d7-40ac-931b-56ee0158fb6e,Seize 24/7 Mindshare Deal,Fixed Annuity,Closed Won,267342.93,100,2026-03-13,2026-03-02,2026-01-27T19:26:17
