id,user_id,plan_id,effective_start_date,effective_end_date,source_system,mapping_basis,evidence_score,created_at
6aead731-1ebf-4b0b-b7d8-1c51a3d8dd46,a5232be2-2956-438d-98a1-3778969ad69b,5ce05abe-57be-436b-ba5f-1e4b4c14f656,2026-01-01,,generated,role-based,0.95,2026-07-01T20:00:17.352062+00:00
eb61ca79-9832-44ce-9e8a-7d1afe6f6d34,9805ce25-bfd3-4eaf-8826-1974cd20948a,5ce05abe-57be-436b-ba5f-1e4b4c14f656,2026-01-01,,generated,role-based,0.95,2026-07-01T20:00:17.352067+00:00
78d5c9b5-9734-4dd6-aae4-d9bdc3f6fb4f,76281a3e-edbf-40ac-817d-02677c136e35,5ce05abe-57be-436b-ba5f-1e4b4c14f656,2026-01-01,,generated,role-based,0.95,2026-07-01T20:00:17.352073+00:00
0e51afb9-7d55-4e0a-895f-b23434e542c6,e9295d1e-add6-4bb9-941a-8e1b1a2b4fa7,5ce05abe-57be-436b-ba5f-1e4b4c14f656,2026-01-01,,generated,role-based,0.95,2026-07-01T20:00:17.352078+00:00
8870651e-7f01-4b17-b6e0-15d882db105c,60eda1b7-56e0-479c-8d20-abbaacdfe066,5ce05abe-57be-436b-ba5f-1e4b4c14f656,2026-01-01,,generated,role-based,0.95,2026-07-01T20:00:17.352082+00:00
6a06355d-6e75-4683-ac4f-0b77c6b73b99,233ecbbc-4949-4f3f-8d53-10b707c62aac,5ce05abe-57be-436b-ba5f-1e4b4c14f656,2026-01-01,,generated,role-based,0.95,2026-07-01T20:00:17.352087+00:00
9456d2fc-f9f8-4f6e-a629-22213218398c,664cffe7-856e-4f94-ad56-e0f053d564f5,5ce05abe-57be-436b-ba5f-1e4b4c14f656,2026-01-01,,generated,role-based,0.95,2026-07-01T20:00:17.352091+00:00
85fc2151-c77c-4831-a61e-8433a97e1e30,31b99f30-a14f-4a9e-a854-d6eda5ae0de5,5ce05abe-57be-436b-ba5f-1e4b4c14f656,2026-01-01,,generated,role-based,0.95,2026-07-01T20:00:17.352096+00:00
db25c3c9-c4c5-4e38-aa66-1da35b082c3b,187c3355-2672-469a-9973-b101110cac66,5ce05abe-57be-436b-ba5f-1e4b4c14f656,2026-01-01,,generated,role-based,0.95,2026-07-01T20:00:17.352100+00:00
6556f958-85fc-4968-8c32-d8c3c386202e,a810ede3-bb80-469b-bb64-9ac0cf656cd7,5ce05abe-57be-436b-ba5f-1e4b4c14f656,2026-01-01,,generated,role-based,0.95,2026-07-01T20:00:17.352104+00:00
95996f93-8a84-4314-809b-df9b48ab6224,22dcba8c-7d25-4c33-b087-c1981c4269ca,5ce05abe-57be-436b-ba5f-1e4b4c14f656,2026-01-01,,generated,role-based,0.95,2026-07-01T20:00:17.352109+00:00
