id,plan_id,name,metric_name,threshold_min,threshold_max,rate,accelerator_rate,bonus_amount,rollup_enabled,rollup_pct,carryover_enabled,carryover_cap,source_system,created_at
ffd55ec9-c503-469d-a2ec-f79879975007,46f12c67-ba9d-47c6-8945-a3e9debd4db5,Tier 1 Rule,attainment_pct,0,69.99,0.02,0.0,0,false,0.0,false,0.0,generated,2026-09-01T16:48:37.891124+00:00
96b315c3-a51c-4b98-a215-6b0ea53839d3,46f12c67-ba9d-47c6-8945-a3e9debd4db5,Tier 2 Rule,attainment_pct,70,84.99,0.04,0.0,0,false,0.0,false,0.0,generated,2026-09-01T16:48:37.891128+00:00
568c48d8-3ece-4a48-8084-a0c76a8c7da6,46f12c67-ba9d-47c6-8945-a3e9debd4db5,Tier 3 Rule,attainment_pct,85,99.99,0.06,0.0,0,false,0.0,false,0.0,generated,2026-09-01T16:48:37.891132+00:00
4272df90-72fe-4ea7-a8d2-245adbbd31ad,46f12c67-ba9d-47c6-8945-a3e9debd4db5,Tier 4 Rule,attainment_pct,100,114.99,0.09,0.01,1500,false,0.0,true,5000.0,generated,2026-09-01T16:48:37.891136+00:00
641d3c0a-1290-4a1b-8af5-7c7cb82343f3,46f12c67-ba9d-47c6-8945-a3e9debd4db5,Tier 5 Rule,attainment_pct,115,129.99,0.11,0.02,2500,true,0.2,true,8000.0,generated,2026-09-01T16:48:37.891140+00:00
5eca6046-e963-46b8-a03e-3e06bbdf7bb5,46f12c67-ba9d-47c6-8945-a3e9debd4db5,Tier 6 Rule,attainment_pct,130,999.0,0.13,0.03,3500,true,0.25,true,12000.0,generated,2026-09-01T16:48:37.891145+00:00
64a0f206-997a-412d-9e81-02c875742e2a,ad26f875-6c81-435c-9404-12dbf619b1d2,Tier 1 Rule,attainment_pct,0,69.99,0.02,0.0,0,false,0.0,false,0.0,generated,2026-09-01T16:48:37.891148+00:00
f4ed0526-eec7-4e4d-8842-b8807abbb18d,ad26f875-6c81-435c-9404-12dbf619b1d2,Tier 2 Rule,attainment_pct,70,84.99,0.04,0.0,0,false,0.0,false,0.0,generated,2026-09-01T16:48:37.891152+00:00
7c346244-dae7-43f3-852c-f010839e0ebb,ad26f875-6c81-435c-9404-12dbf619b1d2,Tier 3 Rule,attainment_pct,85,99.99,0.06,0.0,0,false,0.0,false,0.0,generated,2026-09-01T16:48:37.891155+00:00
ae60cc95-f47c-4fee-af32-14096ce0116a,ad26f875-6c81-435c-9404-12dbf619b1d2,Tier 4 Rule,attainment_pct,100,114.99,0.09,0.01,1500,false,0.0,true,5000.0,generated,2026-09-01T16:48:37.891159+00:00
c7d4a074-75c2-4026-8477-0d7ee64384c9,ad26f875-6c81-435c-9404-12dbf619b1d2,Tier 5 Rule,attainment_pct,115,129.99,0.11,0.02,2500,true,0.2,true,8000.0,generated,2026-09-01T16:48:37.891163+00:00
c5f7df83-3e2f-4e3d-84bb-935ba0bbf264,ad26f875-6c81-435c-9404-12dbf619b1d2,Tier 6 Rule,attainment_pct,130,999.0,0.13,0.03,3500,true,0.25,true,12000.0,generated,2026-09-01T16:48:37.891167+00:00
96dd944a-48f3-4bed-a292-199e86b6c39e,246d617c-0187-4da0-a4b8-6de204849df6,Tier 1 Rule,attainment_pct,0,69.99,0.02,0.0,0,false,0.0,false,0.0,generated,2026-09-01T16:48:37.891171+00:00
bf6637ac-475e-451b-81ea-df0c1e6db2ee,246d617c-0187-4da0-a4b8-6de204849df6,Tier 2 Rule,attainment_pct,70,84.99,0.04,0.0,0,false,0.0,false,0.0,generated,2026-09-01T16:48:37.891175+00:00
d1948654-124f-4f22-94db-ca3eae8acead,246d617c-0187-4da0-a4b8-6de204849df6,Tier 3 Rule,attainment_pct,85,99.99,0.06,0.0,0,false,0.0,false,0.0,generated,2026-09-01T16:48:37.891178+00:00
fc49b3a7-1745-4449-8ac7-94b41696e161,246d617c-0187-4da0-a4b8-6de204849df6,Tier 4 Rule,attainment_pct,100,114.99,0.09,0.01,1500,false,0.0,true,5000.0,generated,2026-09-01T16:48:37.891182+00:00
2aae1bc2-80b3-4839-ad4e-9c4048bb2e76,246d617c-0187-4da0-a4b8-6de204849df6,Tier 5 Rule,attainment_pct,115,129.99,0.11,0.02,2500,true,0.2,true,8000.0,generated,2026-09-01T16:48:37.891186+00:00
3af6c4f2-bb08-47f0-8045-42273cd0d77a,246d617c-0187-4da0-a4b8-6de204849df6,Tier 6 Rule,attainment_pct,130,999.0,0.13,0.03,3500,true,0.25,true,12000.0,generated,2026-09-01T16:48:37.891189+00:00
098e98d0-06b4-4e7c-996d-7036320e52e3,7b60d58f-689f-4fd8-a061-e29225a66337,Tier 1 Rule,attainment_pct,0,69.99,0.02,0.0,0,false,0.0,false,0.0,generated,2026-09-01T16:48:37.891193+00:00
7bf9d909-5414-4f83-bb40-d215de824392,7b60d58f-689f-4fd8-a061-e29225a66337,Tier 2 Rule,attainment_pct,70,84.99,0.04,0.0,0,false,0.0,false,0.0,generated,2026-09-01T16:48:37.891196+00:00
796a1dc6-b39e-42c2-b06e-81256741efec,7b60d58f-689f-4fd8-a061-e29225a66337,Tier 3 Rule,attainment_pct,85,99.99,0.06,0.0,0,false,0.0,false,0.0,generated,2026-09-01T16:48:37.891200+00:00
fe8d02dd-905d-4a85-b826-66f05c2376ef,7b60d58f-689f-4fd8-a061-e29225a66337,Tier 4 Rule,attainment_pct,100,114.99,0.09,0.01,1500,false,0.0,true,5000.0,generated,2026-09-01T16:48:37.891204+00:00
a878813f-6f60-474c-9f75-39907324067b,7b60d58f-689f-4fd8-a061-e29225a66337,Tier 5 Rule,attainment_pct,115,129.99,0.11,0.02,2500,true,0.2,true,8000.0,generated,2026-09-01T16:48:37.891207+00:00
1207b633-300c-4c70-b1d6-3bcaff1377c7,7b60d58f-689f-4fd8-a061-e29225a66337,Tier 6 Rule,attainment_pct,130,999.0,0.13,0.03,3500,true,0.25,true,12000.0,generated,2026-09-01T16:48:37.891211+00:00
