id,external_id,territory_code,name,parent_territory_id,region,segment,source_system,created_at,effective_start_date,effective_end_date
211703b1-558d-401b-8fce-6851a60a4179,TERR-001,T-001,Southeast Region,,Southeast Region,Enterprise,generated,2026-07-01T20:00:17.351577+00:00,2024-07-01,
618639a1-ac4a-4db9-97ff-e6725ababba4,SUBTERR-001-01,T-001-S01,Southeast Region Subregion 1,211703b1-558d-401b-8fce-6851a60a4179,Southeast Region,Mid-Market,generated,2026-07-01T20:00:17.351596+00:00,2024-07-01,
75cd02cd-796d-481f-8015-e98b3185df55,SUBTERR-001-02,T-001-S02,Southeast Region Subregion 2,211703b1-558d-401b-8fce-6851a60a4179,Southeast Region,SMB,generated,2026-07-01T20:00:17.351604+00:00,2024-07-01,
2ae5f07e-257f-4edf-9e8d-3773075830c3,SUBTERR-001-03,T-001-S03,Southeast Region Subregion 3,211703b1-558d-401b-8fce-6851a60a4179,Southeast Region,SMB,generated,2026-07-01T20:00:17.351611+00:00,2024-07-01,
a794e91d-82d7-4417-af61-bbb22103039a,SUBTERR-001-04,T-001-S04,Southeast Region Subregion 4,211703b1-558d-401b-8fce-6851a60a4179,Southeast Region,Mid-Market,generated,2026-07-01T20:00:17.351617+00:00,2024-07-01,
4a26972b-558f-4b51-bc55-99e936f09bcb,TERR-002,T-002,Northeast Region,,Northeast Region,Enterprise,generated,2026-07-01T20:00:17.351623+00:00,2024-07-01,
ff734f77-255c-49c5-9471-878ab4fdb6dc,SUBTERR-002-01,T-002-S01,Northeast Region Subregion 1,4a26972b-558f-4b51-bc55-99e936f09bcb,Northeast Region,Mid-Market,generated,2026-07-01T20:00:17.351630+00:00,2024-07-01,
0b810232-2842-4e8f-b446-289bf646080b,SUBTERR-002-02,T-002-S02,Northeast Region Subregion 2,4a26972b-558f-4b51-bc55-99e936f09bcb,Northeast Region,Mid-Market,generated,2026-07-01T20:00:17.351636+00:00,2024-07-01,
39943403-9332-4970-b4b9-903c65a7a5ab,SUBTERR-002-03,T-002-S03,Northeast Region Subregion 3,4a26972b-558f-4b51-bc55-99e936f09bcb,Northeast Region,Enterprise,generated,2026-07-01T20:00:17.351642+00:00,2024-07-01,
fa8ac9a7-e507-4dca-b19c-dd40d5272072,SUBTERR-002-04,T-002-S04,Northeast Region Subregion 4,4a26972b-558f-4b51-bc55-99e936f09bcb,Northeast Region,SMB,generated,2026-07-01T20:00:17.351648+00:00,2024-07-01,
95d48a48-1cb5-460c-ac8f-729087b876d5,TERR-003,T-003,Midwest Region,,Midwest Region,Enterprise,generated,2026-07-01T20:00:17.351654+00:00,2024-07-01,
a3c6b8b4-3abc-4d14-bb7b-8ff2ad17cd3f,SUBTERR-003-01,T-003-S01,Midwest Region Subregion 1,95d48a48-1cb5-460c-ac8f-729087b876d5,Midwest Region,Enterprise,generated,2026-07-01T20:00:17.351660+00:00,2024-07-01,
3da2bc17-c4a3-417a-b518-4adb60a26c12,SUBTERR-003-02,T-003-S02,Midwest Region Subregion 2,95d48a48-1cb5-460c-ac8f-729087b876d5,Midwest Region,SMB,generated,2026-07-01T20:00:17.351665+00:00,2024-07-01,
aa8e056f-cc2a-463a-b1ae-547519fbc014,SUBTERR-003-03,T-003-S03,Midwest Region Subregion 3,95d48a48-1cb5-460c-ac8f-729087b876d5,Midwest Region,SMB,generated,2026-07-01T20:00:17.351671+00:00,2024-07-01,
3ec95708-eea2-4307-84bf-70db619067ae,SUBTERR-003-04,T-003-S04,Midwest Region Subregion 4,95d48a48-1cb5-460c-ac8f-729087b876d5,Midwest Region,Enterprise,generated,2026-07-01T20:00:17.351676+00:00,2024-07-01,
a615c099-fba2-402e-b870-0b2a2a9fa2f2,TERR-004,T-004,Southwest Region,,Southwest Region,Enterprise,generated,2026-07-01T20:00:17.351681+00:00,2024-07-01,
8c7231c9-f805-4992-8667-b589e13b4198,SUBTERR-004-01,T-004-S01,Southwest Region Subregion 1,a615c099-fba2-402e-b870-0b2a2a9fa2f2,Southwest Region,Mid-Market,generated,2026-07-01T20:00:17.351687+00:00,2024-07-01,
d09c4e43-ab34-487a-920f-75f640a5e8c3,SUBTERR-004-02,T-004-S02,Southwest Region Subregion 2,a615c099-fba2-402e-b870-0b2a2a9fa2f2,Southwest Region,SMB,generated,2026-07-01T20:00:17.351693+00:00,2024-07-01,
68edfa9d-96ab-4acf-a871-22aa1c7c57d3,SUBTERR-004-03,T-004-S03,Southwest Region Subregion 3,a615c099-fba2-402e-b870-0b2a2a9fa2f2,Southwest Region,Enterprise,generated,2026-07-01T20:00:17.351699+00:00,2024-07-01,
4800a26e-5719-4335-950d-cc23b4d0e716,SUBTERR-004-04,T-004-S04,Southwest Region Subregion 4,a615c099-fba2-402e-b870-0b2a2a9fa2f2,Southwest Region,Enterprise,generated,2026-07-01T20:00:17.351704+00:00,2024-07-01,
