id,user_id,territory_id,is_primary,source_system,mapping_basis,evidence_score,created_at,effective_start_date,effective_end_date
e5855151-d027-4b2a-a5bb-156bf5bd14b1,608c3ce0-1ea1-41e1-af47-9d2654bcb6d1,d161a82e-24e0-4dee-aa56-e4683061abbc,true,generated,regional-alignment,0.92,2026-09-01T16:48:37.891422+00:00,2025-09-01,
36aa4f1e-a9c6-464d-b7ee-8b327b194e91,b1b5357e-33a5-4f1d-a3c2-cd5e7844e762,4da3986f-3ff6-4ddf-85ab-3702c12229bf,true,generated,regional-alignment,0.92,2026-09-01T16:48:37.891428+00:00,2025-09-01,
f0a326aa-828f-4409-980d-23911d0c2cee,3fa0c96e-f7b7-454e-9094-77c12fa0030e,2dd777b2-a8da-4cc3-b9c9-6fe1702c9c55,true,generated,regional-alignment,0.92,2026-09-01T16:48:37.891433+00:00,2025-09-01,
ba1cf419-32dd-4e73-83f9-f6dee6ce54d1,bf84db92-020a-48f4-bdbf-f9828a18d72b,30cdf753-a06e-4bf8-853d-c989302a0ecf,true,generated,regional-alignment,0.92,2026-09-01T16:48:37.891437+00:00,2025-09-01,
3f47e237-e407-4ee6-ae5b-22f099ed6af3,9b16b660-0add-42e7-a321-a131c4a5b395,0e2d052b-6ad1-47cd-b5f7-2adf87a6c7d3,true,generated,regional-alignment,0.92,2026-09-01T16:48:37.891443+00:00,2025-09-01,
0f2927d8-3f03-4891-944b-c378f6b73ff5,269a9f1c-64ea-4af1-8740-cc13abcbe124,e8d35e88-4674-42c4-8a93-32aa3f96b54d,true,generated,regional-alignment,0.92,2026-09-01T16:48:37.891448+00:00,2025-09-01,
6ea80f27-571d-4901-9e61-aea8536d861a,5f639e69-6d32-423e-895b-3e1dd7525b75,ea32239d-c5cb-4eea-b73a-0927f1c5a40d,true,generated,regional-alignment,0.92,2026-09-01T16:48:37.891452+00:00,2025-09-01,
d001055c-bd9b-4481-9ba6-84d7155e6ecb,f3f282e3-55d2-4963-b51a-1d8605534d9b,f9918a45-6e17-4088-a377-39c9c7405e1d,true,generated,regional-alignment,0.92,2026-09-01T16:48:37.891457+00:00,2025-09-01,
a0f89ef2-76c4-487e-9690-e14b09218c05,c1baa71f-9473-4f4a-b498-627c56e9da49,3b42d842-325e-450a-b1c1-6ddbef042d26,true,generated,regional-alignment,0.92,2026-09-01T16:48:37.891461+00:00,2025-09-01,
3ccc94c8-ad4c-4c40-ba3b-1499c92753c2,fad8552c-9b84-47a0-b8f7-05fdd357a7e7,2dd777b2-a8da-4cc3-b9c9-6fe1702c9c55,true,generated,regional-alignment,0.92,2026-09-01T16:48:37.891465+00:00,2025-09-01,
