id,user_id,plan_id,effective_start_date,effective_end_date,source_system,mapping_basis,evidence_score,created_at
31dc803f-5337-4cf7-b391-556b26b51cef,267f073a-4995-4f69-a38c-ad618b556e02,e9fabc86-1df7-48eb-9b29-e47895a3b65d,2026-01-01,,generated,role-based,0.95,2026-09-01T16:48:39.736219+00:00
b2f83a46-7aca-47b2-b407-d19b96b7a936,8fd5709d-74ea-4549-82db-4b0cca6ce586,e9fabc86-1df7-48eb-9b29-e47895a3b65d,2026-01-01,,generated,role-based,0.95,2026-09-01T16:48:39.736224+00:00
29c8623a-9199-4cfd-afcb-c5637108a854,702c532f-ca49-43eb-99ab-f2ac307eeed3,e9fabc86-1df7-48eb-9b29-e47895a3b65d,2026-01-01,,generated,role-based,0.95,2026-09-01T16:48:39.736229+00:00
b2e1c5d9-c6fc-4ffc-afcb-2dce580c06af,916e5989-b156-460d-97f3-ee43dd0b8704,e9fabc86-1df7-48eb-9b29-e47895a3b65d,2026-01-01,,generated,role-based,0.95,2026-09-01T16:48:39.736234+00:00
e66bfa08-eeaf-40b0-81f6-90f426d4e5b5,d42e8b4d-03c4-40db-8d9c-c0af3a2cd326,e9fabc86-1df7-48eb-9b29-e47895a3b65d,2026-01-01,,generated,role-based,0.95,2026-09-01T16:48:39.736238+00:00
77ac778a-bef2-4635-a1c6-0767c10483c3,24a0c836-5031-4de3-b3c9-2a32238d877e,e9fabc86-1df7-48eb-9b29-e47895a3b65d,2026-01-01,,generated,role-based,0.95,2026-09-01T16:48:39.736242+00:00
41590eae-4cfc-4bf9-96f7-5151152f72d9,70cc9f0c-4ec2-44b0-a11a-eed97b767966,e9fabc86-1df7-48eb-9b29-e47895a3b65d,2026-01-01,,generated,role-based,0.95,2026-09-01T16:48:39.736247+00:00
08e80ad9-5108-40d0-bde4-c86a59ee90e3,11d26a12-fbd7-4fab-a129-30a4b12a2caa,e9fabc86-1df7-48eb-9b29-e47895a3b65d,2026-01-01,,generated,role-based,0.95,2026-09-01T16:48:39.736252+00:00
634e8d24-ed7e-4baa-a4b9-6d3391029a08,70ce7b4a-1b36-4e0c-8de2-12302c339003,e9fabc86-1df7-48eb-9b29-e47895a3b65d,2026-01-01,,generated,role-based,0.95,2026-09-01T16:48:39.736257+00:00
450ed114-90ba-49f9-bf55-720afd3cda7e,a261a7f8-4161-4af1-9eea-41d3e419102a,e9fabc86-1df7-48eb-9b29-e47895a3b65d,2026-01-01,,generated,role-based,0.95,2026-09-01T16:48:39.736261+00:00
584dadcf-64fa-4398-a0db-edf1fe578eff,796823cc-2a02-4ffe-b8e1-14b15fb0dd89,e9fabc86-1df7-48eb-9b29-e47895a3b65d,2026-01-01,,generated,role-based,0.95,2026-09-01T16:48:39.736266+00:00
fd3ee5a7-0110-474b-9b4f-12f799ae16af,deee41fb-4f68-4d59-8a54-766b7ad373c7,e9fabc86-1df7-48eb-9b29-e47895a3b65d,2026-01-01,,generated,role-based,0.95,2026-09-01T16:48:39.736271+00:00
04051c90-c9d5-40c5-9f67-5f5b1e79657a,f5334114-511f-4f6a-8f3c-74d28c1386c2,e9fabc86-1df7-48eb-9b29-e47895a3b65d,2026-01-01,,generated,role-based,0.95,2026-09-01T16:48:39.736275+00:00
