rep_id,period,amount
28615fdd-f208-43f5-9830-15dfe9f1e754,2026-Q3,23838.67
28615fdd-f208-43f5-9830-15dfe9f1e754,2026-Q2,25637.18
28615fdd-f208-43f5-9830-15dfe9f1e754,2026-Q1,22162.52
28615fdd-f208-43f5-9830-15dfe9f1e754,2025-Q4,23029.99
28615fdd-f208-43f5-9830-15dfe9f1e754,2025-Q3,24112.95
28615fdd-f208-43f5-9830-15dfe9f1e754,2025-Q2,23360.91
5f3f33ca-d46b-41bb-b3d6-b88dfbb7137e,2026-Q3,23590.66
5f3f33ca-d46b-41bb-b3d6-b88dfbb7137e,2026-Q2,22682.9
5f3f33ca-d46b-41bb-b3d6-b88dfbb7137e,2026-Q1,23411.63
5f3f33ca-d46b-41bb-b3d6-b88dfbb7137e,2025-Q4,23431.35
5f3f33ca-d46b-41bb-b3d6-b88dfbb7137e,2025-Q3,24480.89
5f3f33ca-d46b-41bb-b3d6-b88dfbb7137e,2025-Q2,22987.03
0335d118-e8a1-45b1-9098-ea6f51da1b33,2026-Q3,25836.46
0335d118-e8a1-45b1-9098-ea6f51da1b33,2026-Q2,24004.81
0335d118-e8a1-45b1-9098-ea6f51da1b33,2026-Q1,25197.67
0335d118-e8a1-45b1-9098-ea6f51da1b33,2025-Q4,24483.04
0335d118-e8a1-45b1-9098-ea6f51da1b33,2025-Q3,25454.12
0335d118-e8a1-45b1-9098-ea6f51da1b33,2025-Q2,25499.14
248abef5-bdf3-44b7-ba1c-a83da97bce81,2026-Q3,63022.64
248abef5-bdf3-44b7-ba1c-a83da97bce81,2026-Q2,55482.87
248abef5-bdf3-44b7-ba1c-a83da97bce81,2026-Q1,60527.42
248abef5-bdf3-44b7-ba1c-a83da97bce81,2025-Q4,57889.86
248abef5-bdf3-44b7-ba1c-a83da97bce81,2025-Q3,56656.4
248abef5-bdf3-44b7-ba1c-a83da97bce81,2025-Q2,63812.88
c871c852-11fd-4dcb-8e0a-305264beb2b2,2026-Q3,61506.54
c871c852-11fd-4dcb-8e0a-305264beb2b2,2026-Q2,56042.83
c871c852-11fd-4dcb-8e0a-305264beb2b2,2026-Q1,58869.19
c871c852-11fd-4dcb-8e0a-305264beb2b2,2025-Q4,64421.81
c871c852-11fd-4dcb-8e0a-305264beb2b2,2025-Q3,61079.5
c871c852-11fd-4dcb-8e0a-305264beb2b2,2025-Q2,61205.04
97b42328-e8b1-47d8-b18a-fd9db794cf35,2026-Q3,57383.31
97b42328-e8b1-47d8-b18a-fd9db794cf35,2026-Q2,57507.46
97b42328-e8b1-47d8-b18a-fd9db794cf35,2026-Q1,56666.39
97b42328-e8b1-47d8-b18a-fd9db794cf35,2025-Q4,64517.16
97b42328-e8b1-47d8-b18a-fd9db794cf35,2025-Q3,63933.46
97b42328-e8b1-47d8-b18a-fd9db794cf35,2025-Q2,58361.13
926747b3-0605-45e2-b8d0-fcc92bbf0bed,2026-Q3,60405.44
926747b3-0605-45e2-b8d0-fcc92bbf0bed,2026-Q2,57184.87
926747b3-0605-45e2-b8d0-fcc92bbf0bed,2026-Q1,56530.33
926747b3-0605-45e2-b8d0-fcc92bbf0bed,2025-Q4,60397.0
926747b3-0605-45e2-b8d0-fcc92bbf0bed,2025-Q3,62881.01
926747b3-0605-45e2-b8d0-fcc92bbf0bed,2025-Q2,63480.84
6f429a5c-b62b-484b-ac7a-28f39d560dbd,2026-Q3,14541.6
6f429a5c-b62b-484b-ac7a-28f39d560dbd,2026-Q2,15492.33
6f429a5c-b62b-484b-ac7a-28f39d560dbd,2026-Q1,15057.13
6f429a5c-b62b-484b-ac7a-28f39d560dbd,2025-Q4,14124.61
6f429a5c-b62b-484b-ac7a-28f39d560dbd,2025-Q3,16189.65
6f429a5c-b62b-484b-ac7a-28f39d560dbd,2025-Q2,16141.86
03047d55-6b0c-4ed2-ade3-e979453d38ea,2026-Q3,56593.46
03047d55-6b0c-4ed2-ade3-e979453d38ea,2026-Q2,64157.09
03047d55-6b0c-4ed2-ade3-e979453d38ea,2026-Q1,64004.28
03047d55-6b0c-4ed2-ade3-e979453d38ea,2025-Q4,58247.96
03047d55-6b0c-4ed2-ade3-e979453d38ea,2025-Q3,60550.47
03047d55-6b0c-4ed2-ade3-e979453d38ea,2025-Q2,64306.58
2504e3b3-25e8-4345-bf72-c6a2d0e388f1,2026-Q3,56336.52
2504e3b3-25e8-4345-bf72-c6a2d0e388f1,2026-Q2,58248.94
2504e3b3-25e8-4345-bf72-c6a2d0e388f1,2026-Q1,63644.53
2504e3b3-25e8-4345-bf72-c6a2d0e388f1,2025-Q4,62179.96
2504e3b3-25e8-4345-bf72-c6a2d0e388f1,2025-Q3,62548.18
2504e3b3-25e8-4345-bf72-c6a2d0e388f1,2025-Q2,63649.27
21f6019b-7c7e-480c-8cae-8b04a34eb58d,2026-Q3,59174.79
21f6019b-7c7e-480c-8cae-8b04a34eb58d,2026-Q2,59148.02
21f6019b-7c7e-480c-8cae-8b04a34eb58d,2026-Q1,59452.84
21f6019b-7c7e-480c-8cae-8b04a34eb58d,2025-Q4,64164.18
21f6019b-7c7e-480c-8cae-8b04a34eb58d,2025-Q3,63783.65
21f6019b-7c7e-480c-8cae-8b04a34eb58d,2025-Q2,64159.2
cd236f80-c9cc-43ed-96ad-09d2afa212d4,2026-Q3,57828.44
cd236f80-c9cc-43ed-96ad-09d2afa212d4,2026-Q2,62679.44
cd236f80-c9cc-43ed-96ad-09d2afa212d4,2026-Q1,56225.01
cd236f80-c9cc-43ed-96ad-09d2afa212d4,2025-Q4,56973.57
cd236f80-c9cc-43ed-96ad-09d2afa212d4,2025-Q3,62519.5
cd236f80-c9cc-43ed-96ad-09d2afa212d4,2025-Q2,61075.02
d26cf0a9-2fe7-4c98-bb58-4a257210d63b,2026-Q3,14440.47
d26cf0a9-2fe7-4c98-bb58-4a257210d63b,2026-Q2,15160.9
d26cf0a9-2fe7-4c98-bb58-4a257210d63b,2026-Q1,14354.19
d26cf0a9-2fe7-4c98-bb58-4a257210d63b,2025-Q4,14357.24
d26cf0a9-2fe7-4c98-bb58-4a257210d63b,2025-Q3,15449.71
d26cf0a9-2fe7-4c98-bb58-4a257210d63b,2025-Q2,14662.23
8fbc7b28-5a14-4a2b-84cd-726d9d74feba,2026-Q3,61806.16
8fbc7b28-5a14-4a2b-84cd-726d9d74feba,2026-Q2,59775.38
8fbc7b28-5a14-4a2b-84cd-726d9d74feba,2026-Q1,60022.32
8fbc7b28-5a14-4a2b-84cd-726d9d74feba,2025-Q4,61005.23
8fbc7b28-5a14-4a2b-84cd-726d9d74feba,2025-Q3,62035.38
8fbc7b28-5a14-4a2b-84cd-726d9d74feba,2025-Q2,58790.01
