id,deal_id,rep_id,type,outcome,notes,activity_date
0368d214-2d9f-44ed-a404-3dfa7caf10a1,30439b87-d2fa-4387-b46f-b85e0933a53d,11c40c5b-04c7-4c16-84b5-9ac7c6e7600d,follow_up,negative,Specific American once night these hear society save citizen just eat.,2025-05-09T09:05:06.780017
fe64d442-6e4b-4fa3-8931-a731d4bc3d11,30439b87-d2fa-4387-b46f-b85e0933a53d,11c40c5b-04c7-4c16-84b5-9ac7c6e7600d,meeting,neutral,Technology challenge find chance ever part provide them interest magazine miss those get.,2025-05-12T01:34:32.543846
9f90fcaa-93a5-4cbd-9871-592e59803f58,30439b87-d2fa-4387-b46f-b85e0933a53d,11c40c5b-04c7-4c16-84b5-9ac7c6e7600d,follow_up,negative,Smile tax speak peace new develop drive general shake strong although task.,2026-07-01T21:21:28.872967
3c9142c0-6a58-4d4e-b20e-6f4b00baf03c,30439b87-d2fa-4387-b46f-b85e0933a53d,11c40c5b-04c7-4c16-84b5-9ac7c6e7600d,follow_up,neutral,Read she certainly reveal month grow degree discussion fly store suggest heavy.,2024-08-05T23:50:11.844697
f190a649-60dc-4900-8479-f6ec33e7c1d5,30439b87-d2fa-4387-b46f-b85e0933a53d,11c40c5b-04c7-4c16-84b5-9ac7c6e7600d,follow_up,neutral,Student campaign color worker interesting employee because for offer.,2025-07-25T06:19:37.533458
3d2dbeae-4891-4018-983e-5721df407989,eb9ff29a-a2f8-49b0-9e07-2d859e5b7499,11c40c5b-04c7-4c16-84b5-9ac7c6e7600d,meeting,neutral,Play exactly ever cost shoulder shake ball.,2026-08-08T20:19:18.632876
20ae60be-ea52-4c89-9093-08cdb556edb1,7672c534-190c-4776-bfb0-24ff7fdc1666,1ef60c0f-33de-4df6-8bf5-d57fe5f6cdc6,demo,neutral,Dog interesting good by professional stand ask poor whether probably clearly agent daughter.,2026-02-10T11:34:33.092404
3e6e6f5d-b82b-404f-bcbd-fee8ebd77c2c,7672c534-190c-4776-bfb0-24ff7fdc1666,1ef60c0f-33de-4df6-8bf5-d57fe5f6cdc6,call,neutral,Exist shoulder choose then middle speech language blue song as north pay claim explain.,2026-08-17T13:37:00.391569
bb15468f-7720-4e90-898f-346218d8e4f3,7672c534-190c-4776-bfb0-24ff7fdc1666,1ef60c0f-33de-4df6-8bf5-d57fe5f6cdc6,meeting,no_response,White young able exactly answer but seek themselves just example get teach.,2025-12-06T08:26:41.360582
169867d7-9f0a-4b60-b0fc-cee7581b65cf,7672c534-190c-4776-bfb0-24ff7fdc1666,1ef60c0f-33de-4df6-8bf5-d57fe5f6cdc6,follow_up,neutral,How forget town share list maintain through window determine recognize example call other to between.,2026-08-19T16:35:30.608654
