rep_id,period,amount
a488066b-f5f7-4cbe-a836-43d11bcda709,2025-Q1,120531.14
a488066b-f5f7-4cbe-a836-43d11bcda709,2025-Q2,174248.66
a488066b-f5f7-4cbe-a836-43d11bcda709,2025-Q3,127945.97
a488066b-f5f7-4cbe-a836-43d11bcda709,2025-Q4,175211.77
a488066b-f5f7-4cbe-a836-43d11bcda709,2026-Q1,81265.26
a488066b-f5f7-4cbe-a836-43d11bcda709,2026-Q2,90610.78
3c023c25-2678-4bea-92c5-7662f1a7ca75,2025-Q1,134947.88
3c023c25-2678-4bea-92c5-7662f1a7ca75,2025-Q2,90039.09
3c023c25-2678-4bea-92c5-7662f1a7ca75,2025-Q3,103412.31
3c023c25-2678-4bea-92c5-7662f1a7ca75,2025-Q4,191986.28
3c023c25-2678-4bea-92c5-7662f1a7ca75,2026-Q1,173202.08
3c023c25-2678-4bea-92c5-7662f1a7ca75,2026-Q2,115846.27
45729505-fc18-43ae-83d6-9e3928d4d5a1,2025-Q1,93743.88
45729505-fc18-43ae-83d6-9e3928d4d5a1,2025-Q2,167767.47
45729505-fc18-43ae-83d6-9e3928d4d5a1,2025-Q3,164968.87
45729505-fc18-43ae-83d6-9e3928d4d5a1,2025-Q4,100787.95
45729505-fc18-43ae-83d6-9e3928d4d5a1,2026-Q1,146596.58
45729505-fc18-43ae-83d6-9e3928d4d5a1,2026-Q2,156938.31
523a6734-973b-43b1-8a23-01c7c905083a,2025-Q1,90679.7
523a6734-973b-43b1-8a23-01c7c905083a,2025-Q2,93387.14
523a6734-973b-43b1-8a23-01c7c905083a,2025-Q3,83017.05
523a6734-973b-43b1-8a23-01c7c905083a,2025-Q4,180501.88
523a6734-973b-43b1-8a23-01c7c905083a,2026-Q1,115732.55
523a6734-973b-43b1-8a23-01c7c905083a,2026-Q2,120173.37
ceb899a0-18c2-424a-8e78-b74496ad1fe3,2025-Q1,85138.4
ceb899a0-18c2-424a-8e78-b74496ad1fe3,2025-Q2,157846.52
ceb899a0-18c2-424a-8e78-b74496ad1fe3,2025-Q3,110013.06
ceb899a0-18c2-424a-8e78-b74496ad1fe3,2025-Q4,145071.36
ceb899a0-18c2-424a-8e78-b74496ad1fe3,2026-Q1,121933.22
ceb899a0-18c2-424a-8e78-b74496ad1fe3,2026-Q2,121772.87
92ca4f5e-3944-47e6-bdbc-e9a6ec783778,2025-Q1,85162.0
92ca4f5e-3944-47e6-bdbc-e9a6ec783778,2025-Q2,119010.49
92ca4f5e-3944-47e6-bdbc-e9a6ec783778,2025-Q3,189520.11
92ca4f5e-3944-47e6-bdbc-e9a6ec783778,2025-Q4,193186.75
92ca4f5e-3944-47e6-bdbc-e9a6ec783778,2026-Q1,189671.93
92ca4f5e-3944-47e6-bdbc-e9a6ec783778,2026-Q2,182098.5
e4d095e6-f88c-41b4-9f30-3da49209a2dd,2025-Q1,177315.93
e4d095e6-f88c-41b4-9f30-3da49209a2dd,2025-Q2,155367.51
e4d095e6-f88c-41b4-9f30-3da49209a2dd,2025-Q3,152583.3
e4d095e6-f88c-41b4-9f30-3da49209a2dd,2025-Q4,166202.89
e4d095e6-f88c-41b4-9f30-3da49209a2dd,2026-Q1,195263.82
e4d095e6-f88c-41b4-9f30-3da49209a2dd,2026-Q2,152448.36
31840926-ac4a-45ff-bb8a-1382837aa32b,2025-Q1,146885.96
31840926-ac4a-45ff-bb8a-1382837aa32b,2025-Q2,167418.63
31840926-ac4a-45ff-bb8a-1382837aa32b,2025-Q3,181393.56
31840926-ac4a-45ff-bb8a-1382837aa32b,2025-Q4,144068.06
31840926-ac4a-45ff-bb8a-1382837aa32b,2026-Q1,82465.29
31840926-ac4a-45ff-bb8a-1382837aa32b,2026-Q2,152706.99
8855c974-d62f-4d15-a655-0091e8a316de,2025-Q1,121284.84
8855c974-d62f-4d15-a655-0091e8a316de,2025-Q2,95397.49
8855c974-d62f-4d15-a655-0091e8a316de,2025-Q3,85495.06
8855c974-d62f-4d15-a655-0091e8a316de,2025-Q4,144072.17
8855c974-d62f-4d15-a655-0091e8a316de,2026-Q1,194604.32
8855c974-d62f-4d15-a655-0091e8a316de,2026-Q2,146967.9
11c317d5-9177-43e8-8435-10259cc49bf8,2025-Q1,180080.86
11c317d5-9177-43e8-8435-10259cc49bf8,2025-Q2,100758.56
11c317d5-9177-43e8-8435-10259cc49bf8,2025-Q3,119468.55
11c317d5-9177-43e8-8435-10259cc49bf8,2025-Q4,194630.06
11c317d5-9177-43e8-8435-10259cc49bf8,2026-Q1,162648.39
11c317d5-9177-43e8-8435-10259cc49bf8,2026-Q2,167204.51
