id,external_id,territory_code,name,parent_territory_id,region,segment,source_system,created_at,effective_start_date,effective_end_date
0b40a59c-2d46-43b9-8e22-10614b5a2f10,TERR-001,T-001,North America,,North America,Enterprise,generated,2026-09-02T17:47:12.445543+00:00,2024-09-02,
5a412be3-02a6-4014-bbd5-af7251311402,SUBTERR-001-01,T-001-S01,North America Subregion 1,0b40a59c-2d46-43b9-8e22-10614b5a2f10,North America,Mid-Market,generated,2026-09-02T17:47:12.445554+00:00,2024-09-02,
fa0a0c32-56f4-4c68-b4ab-8e972285a375,SUBTERR-001-02,T-001-S02,North America Subregion 2,0b40a59c-2d46-43b9-8e22-10614b5a2f10,North America,Enterprise,generated,2026-09-02T17:47:12.445561+00:00,2024-09-02,
6dc1186e-82f8-4889-b9cf-14e1be552e21,SUBTERR-001-03,T-001-S03,North America Subregion 3,0b40a59c-2d46-43b9-8e22-10614b5a2f10,North America,Enterprise,generated,2026-09-02T17:47:12.445567+00:00,2024-09-02,
d1eb3637-823f-4b93-b469-a61c024b2c6f,SUBTERR-001-04,T-001-S04,North America Subregion 4,0b40a59c-2d46-43b9-8e22-10614b5a2f10,North America,Mid-Market,generated,2026-09-02T17:47:12.445572+00:00,2024-09-02,
746f95e3-29b1-41e3-aad6-26ca480ad39e,TERR-002,T-002,EMEA,,EMEA,Enterprise,generated,2026-09-02T17:47:12.445578+00:00,2024-09-02,
b8d83df1-f1a5-4c7b-85c0-6dbe829a0f59,SUBTERR-002-01,T-002-S01,EMEA Subregion 1,746f95e3-29b1-41e3-aad6-26ca480ad39e,EMEA,Enterprise,generated,2026-09-02T17:47:12.445584+00:00,2024-09-02,
a0f258e9-5826-4612-8c60-b067700cf0d5,SUBTERR-002-02,T-002-S02,EMEA Subregion 2,746f95e3-29b1-41e3-aad6-26ca480ad39e,EMEA,SMB,generated,2026-09-02T17:47:12.445589+00:00,2024-09-02,
83d21396-5459-4b9f-b4b7-adf2e9d470fa,SUBTERR-002-03,T-002-S03,EMEA Subregion 3,746f95e3-29b1-41e3-aad6-26ca480ad39e,EMEA,Enterprise,generated,2026-09-02T17:47:12.445595+00:00,2024-09-02,
4511b71d-6be8-4200-963f-9afd6965f1db,SUBTERR-002-04,T-002-S04,EMEA Subregion 4,746f95e3-29b1-41e3-aad6-26ca480ad39e,EMEA,Enterprise,generated,2026-09-02T17:47:12.445600+00:00,2024-09-02,
1d8b817a-f34a-44cc-ad6c-249b232bf7f6,TERR-003,T-003,APAC,,APAC,Enterprise,generated,2026-09-02T17:47:12.445605+00:00,2024-09-02,
ae0f9e83-fbd1-4ece-aafc-ae01e8af8964,SUBTERR-003-01,T-003-S01,APAC Subregion 1,1d8b817a-f34a-44cc-ad6c-249b232bf7f6,APAC,Enterprise,generated,2026-09-02T17:47:12.445610+00:00,2024-09-02,
d0b2187e-8a4c-41f7-8634-5e21be7bae2c,SUBTERR-003-02,T-003-S02,APAC Subregion 2,1d8b817a-f34a-44cc-ad6c-249b232bf7f6,APAC,Enterprise,generated,2026-09-02T17:47:12.445615+00:00,2024-09-02,
23c52003-c3ce-485f-bf60-11750c9aa5e6,SUBTERR-003-03,T-003-S03,APAC Subregion 3,1d8b817a-f34a-44cc-ad6c-249b232bf7f6,APAC,Enterprise,generated,2026-09-02T17:47:12.445620+00:00,2024-09-02,
bd9e3b53-b7c6-480c-9667-aa6884356a1c,SUBTERR-003-04,T-003-S04,APAC Subregion 4,1d8b817a-f34a-44cc-ad6c-249b232bf7f6,APAC,Mid-Market,generated,2026-09-02T17:47:12.445625+00:00,2024-09-02,
f3df757d-fd32-42e8-ad3d-31a338cc906b,TERR-004,T-004,LATAM,,LATAM,Enterprise,generated,2026-09-02T17:47:12.445630+00:00,2024-09-02,
9a6e04f0-6b33-4be1-80de-6cf15e14331e,SUBTERR-004-01,T-004-S01,LATAM Subregion 1,f3df757d-fd32-42e8-ad3d-31a338cc906b,LATAM,SMB,generated,2026-09-02T17:47:12.445636+00:00,2024-09-02,
c162e546-6a8f-45b7-8fec-5fafa143b693,SUBTERR-004-02,T-004-S02,LATAM Subregion 2,f3df757d-fd32-42e8-ad3d-31a338cc906b,LATAM,Mid-Market,generated,2026-09-02T17:47:12.445641+00:00,2024-09-02,
675af145-0d07-4d99-b757-86ae60dafb1f,SUBTERR-004-03,T-004-S03,LATAM Subregion 3,f3df757d-fd32-42e8-ad3d-31a338cc906b,LATAM,SMB,generated,2026-09-02T17:47:12.445646+00:00,2024-09-02,
fd6ad3e3-3b71-4407-a44e-41358afd7e83,SUBTERR-004-04,T-004-S04,LATAM Subregion 4,f3df757d-fd32-42e8-ad3d-31a338cc906b,LATAM,SMB,generated,2026-09-02T17:47:12.445651+00:00,2024-09-02,
