id,user_id,plan_id,effective_start_date,effective_end_date,source_system,mapping_basis,evidence_score,created_at
e3dd490a-864e-4bc7-9b20-c03fd494f3fb,d08ec85b-3215-4a66-8391-9597c151ee15,3bb72f6e-cb21-4a76-a818-d2a43414591f,2026-01-01,,generated,role-based,0.95,2026-09-04T17:56:35.131991+00:00
355fc0ad-d61b-4868-b32d-60541eda80fc,bed0082a-91f9-4579-a7b6-e37bc4dd389f,3bb72f6e-cb21-4a76-a818-d2a43414591f,2026-01-01,,generated,role-based,0.95,2026-09-04T17:56:35.131999+00:00
8406c1b5-ec59-4978-9d69-743a666180d9,c3088c1a-f33b-4ec5-8b74-622943b56945,3bb72f6e-cb21-4a76-a818-d2a43414591f,2026-01-01,,generated,role-based,0.95,2026-09-04T17:56:35.132006+00:00
1dcbe581-4fac-481a-8fa2-05dd001b6d26,9f678c9a-5f3a-4b54-8c26-699b2c480d00,3bb72f6e-cb21-4a76-a818-d2a43414591f,2026-01-01,,generated,role-based,0.95,2026-09-04T17:56:35.132012+00:00
94d9f4dd-8928-47a5-bccf-6329fb2f7401,526c0654-ca12-44f6-aabf-84f5cadc0933,3bb72f6e-cb21-4a76-a818-d2a43414591f,2026-01-01,,generated,role-based,0.95,2026-09-04T17:56:35.132019+00:00
3cc08571-f629-4464-986a-0e5d9259f898,f4065a66-ac1e-4bf8-a66d-70bd1dcb0d95,3bb72f6e-cb21-4a76-a818-d2a43414591f,2026-01-01,,generated,role-based,0.95,2026-09-04T17:56:35.132026+00:00
e9cca3f3-1a12-4977-b8b4-b4d7849faa14,a90b8083-32fc-4a1c-8254-c06bf5163434,3bb72f6e-cb21-4a76-a818-d2a43414591f,2026-01-01,,generated,role-based,0.95,2026-09-04T17:56:35.132034+00:00
a21ca3c2-759f-4ab0-b46e-a0b3d3056edd,3fadd7c0-7a85-4241-8b31-fbbe7c31a960,3bb72f6e-cb21-4a76-a818-d2a43414591f,2026-01-01,,generated,role-based,0.95,2026-09-04T17:56:35.132041+00:00
3abf770e-5081-40a7-a7be-19ed51916996,530f2077-c2b8-4d68-a06d-6c2885dae42b,3bb72f6e-cb21-4a76-a818-d2a43414591f,2026-01-01,,generated,role-based,0.95,2026-09-04T17:56:35.132048+00:00
7fe25f64-d01a-48d4-a48e-5fd79d1977b7,575f193f-1ef4-4599-be01-a308f1fa8745,3bb72f6e-cb21-4a76-a818-d2a43414591f,2026-01-01,,generated,role-based,0.95,2026-09-04T17:56:35.132054+00:00
8147c818-f7fe-4011-a74a-a7af8d4d790b,d5d2e36d-0951-4484-9e67-34e108dfd927,3bb72f6e-cb21-4a76-a818-d2a43414591f,2026-01-01,,generated,role-based,0.95,2026-09-04T17:56:35.132060+00:00
