id,external_id,territory_code,name,parent_territory_id,region,segment,source_system,created_at,effective_start_date,effective_end_date
f8e37a6f-2278-403d-80ca-c88498415120,TERR-001,T-001,North America,,North America,Enterprise,generated,2026-09-01T16:48:35.853255+00:00,2024-09-01,
d6830b17-0888-4101-ae56-23538b2520dd,SUBTERR-001-01,T-001-S01,North America Subregion 1,f8e37a6f-2278-403d-80ca-c88498415120,North America,SMB,generated,2026-09-01T16:48:35.853264+00:00,2024-09-01,
187aee35-791e-404c-9a65-5eac7285a169,SUBTERR-001-02,T-001-S02,North America Subregion 2,f8e37a6f-2278-403d-80ca-c88498415120,North America,Enterprise,generated,2026-09-01T16:48:35.853271+00:00,2024-09-01,
13c04898-0d08-4d74-b4a1-7a0f1f2627d1,SUBTERR-001-03,T-001-S03,North America Subregion 3,f8e37a6f-2278-403d-80ca-c88498415120,North America,SMB,generated,2026-09-01T16:48:35.853277+00:00,2024-09-01,
8f0c5305-b5df-4b88-98c1-9c5bfd1af4f8,SUBTERR-001-04,T-001-S04,North America Subregion 4,f8e37a6f-2278-403d-80ca-c88498415120,North America,SMB,generated,2026-09-01T16:48:35.853283+00:00,2024-09-01,
0c1481c7-67a5-4c99-81f4-2dd8be9a1e26,TERR-002,T-002,EMEA,,EMEA,Enterprise,generated,2026-09-01T16:48:35.853289+00:00,2024-09-01,
c6b26361-d694-4fcc-ba3d-45898f68cc95,SUBTERR-002-01,T-002-S01,EMEA Subregion 1,0c1481c7-67a5-4c99-81f4-2dd8be9a1e26,EMEA,Enterprise,generated,2026-09-01T16:48:35.853295+00:00,2024-09-01,
5a04b656-0c88-423d-a9b2-1fca70989b87,SUBTERR-002-02,T-002-S02,EMEA Subregion 2,0c1481c7-67a5-4c99-81f4-2dd8be9a1e26,EMEA,SMB,generated,2026-09-01T16:48:35.853301+00:00,2024-09-01,
c7701232-373b-4ea4-9e0b-fc3ef166977c,SUBTERR-002-03,T-002-S03,EMEA Subregion 3,0c1481c7-67a5-4c99-81f4-2dd8be9a1e26,EMEA,Enterprise,generated,2026-09-01T16:48:35.853306+00:00,2024-09-01,
8bbc5333-4cc6-4cbf-b9c1-31d0cbfeb1d2,SUBTERR-002-04,T-002-S04,EMEA Subregion 4,0c1481c7-67a5-4c99-81f4-2dd8be9a1e26,EMEA,Enterprise,generated,2026-09-01T16:48:35.853311+00:00,2024-09-01,
c9b5e566-b3f1-4811-9d98-d3ba918e1ff9,TERR-003,T-003,APAC,,APAC,Enterprise,generated,2026-09-01T16:48:35.853316+00:00,2024-09-01,
c629609d-6a66-461e-91b2-239e7a4ba4b4,SUBTERR-003-01,T-003-S01,APAC Subregion 1,c9b5e566-b3f1-4811-9d98-d3ba918e1ff9,APAC,SMB,generated,2026-09-01T16:48:35.853321+00:00,2024-09-01,
91fe2916-4683-4ec7-98b2-ca46d006d000,SUBTERR-003-02,T-003-S02,APAC Subregion 2,c9b5e566-b3f1-4811-9d98-d3ba918e1ff9,APAC,Enterprise,generated,2026-09-01T16:48:35.853326+00:00,2024-09-01,
49816ee8-7869-496b-9c06-2f354b49aa0f,SUBTERR-003-03,T-003-S03,APAC Subregion 3,c9b5e566-b3f1-4811-9d98-d3ba918e1ff9,APAC,Mid-Market,generated,2026-09-01T16:48:35.853332+00:00,2024-09-01,
4d8bfb24-629d-4351-aa7c-3ebd407fadbe,SUBTERR-003-04,T-003-S04,APAC Subregion 4,c9b5e566-b3f1-4811-9d98-d3ba918e1ff9,APAC,Enterprise,generated,2026-09-01T16:48:35.853337+00:00,2024-09-01,
111a487d-fc61-4342-9d89-2d75016c03e5,TERR-004,T-004,LATAM,,LATAM,Enterprise,generated,2026-09-01T16:48:35.853342+00:00,2024-09-01,
8f3e2bae-31c9-4e1f-91eb-05393959d417,SUBTERR-004-01,T-004-S01,LATAM Subregion 1,111a487d-fc61-4342-9d89-2d75016c03e5,LATAM,Enterprise,generated,2026-09-01T16:48:35.853347+00:00,2024-09-01,
3385876d-865f-435b-960e-ffe44eadfd28,SUBTERR-004-02,T-004-S02,LATAM Subregion 2,111a487d-fc61-4342-9d89-2d75016c03e5,LATAM,SMB,generated,2026-09-01T16:48:35.853352+00:00,2024-09-01,
ee28e449-e0fe-4051-945b-239633588e69,SUBTERR-004-03,T-004-S03,LATAM Subregion 3,111a487d-fc61-4342-9d89-2d75016c03e5,LATAM,Enterprise,generated,2026-09-01T16:48:35.853357+00:00,2024-09-01,
7c18684d-95a3-45c5-b8f6-b3fbe9d6c1df,SUBTERR-004-04,T-004-S04,LATAM Subregion 4,111a487d-fc61-4342-9d89-2d75016c03e5,LATAM,SMB,generated,2026-09-01T16:48:35.853362+00:00,2024-09-01,
